"DESCRİPTİON","DURATİON İN MS","NAME","PARENT SUİTE","START TİME","STATUS","STOP TİME","SUB SUİTE","SUİTE","TEST CLASS","TEST METHOD"
"","79472","Sut, Kahvaltilik Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","","Tue Oct 22 21:03:56 TRT 2024","passed","Tue Oct 22 21:05:15 TRT 2024","","Sut, Kahvaltilik Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","",""
"","66689","Login kullanici ile arama kutusuna mouse degeri girilir, kategorilerdeki urunler sepete eklenir","","Tue Oct 22 21:21:20 TRT 2024","passed","Tue Oct 22 21:22:27 TRT 2024","","Login kullanici ile arama kutusuna <deger> degeri girilir, kategorilerdeki urunler sepete eklenir","",""
"","75399","Kagit, Kozmetik Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","","Tue Oct 22 20:54:01 TRT 2024","passed","Tue Oct 22 20:55:17 TRT 2024","","Kagit, Kozmetik Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","",""
"","40950","Profilim sayfasindaki ogeler kontrol edilir","","Tue Oct 22 20:48:39 TRT 2024","passed","Tue Oct 22 20:49:20 TRT 2024","","Profilim sayfasindaki ogeler kontrol edilir","",""
"","39539","Email ile Login Senaryosu","","Tue Oct 22 20:48:00 TRT 2024","passed","Tue Oct 22 20:48:39 TRT 2024","","Email ile Login Senaryosu","",""
"","70783","Login kullanici ile arama kutusuna yumurta degeri girilir, kategorilerdeki urunler sepete eklenir","","Tue Oct 22 21:15:09 TRT 2024","passed","Tue Oct 22 21:16:20 TRT 2024","","Login kullanici ile arama kutusuna <deger> degeri girilir, kategorilerdeki urunler sepete eklenir","",""
"","80282","Odeme adimina kadar ilerleme, odeme secenekleri kontrolu","","Tue Oct 22 21:11:03 TRT 2024","passed","Tue Oct 22 21:12:24 TRT 2024","","Odeme adimina kadar ilerleme, odeme secenekleri kontrolu","",""
"","63076","PLP sayfasindaki siralama olcutleri kontrol edilir","","Tue Oct 22 21:25:07 TRT 2024","passed","Tue Oct 22 21:26:10 TRT 2024","","PLP sayfasindaki siralama olcutleri kontrol edilir","",""
"","68704","Login kullanici ile arama kutusuna bebek bezi degeri girilir, kategorilerdeki urunler sepete eklenir","","Tue Oct 22 21:19:06 TRT 2024","passed","Tue Oct 22 21:20:15 TRT 2024","","Login kullanici ile arama kutusuna <deger> degeri girilir, kategorilerdeki urunler sepete eklenir","",""
"","83600","Dondurma Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","","Tue Oct 22 21:00:16 TRT 2024","passed","Tue Oct 22 21:01:40 TRT 2024","","Dondurma Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","",""
"","75358","domates urunu aratilir, PDP sayfasina gidilir, miktari artirilir-azaltilir ve sepete eklenir, urun sepetten cikarilir","","Tue Oct 22 21:26:10 TRT 2024","passed","Tue Oct 22 21:27:26 TRT 2024","","<deger> urunu aratilir, PDP sayfasina gidilir, miktari artirilir-azaltilir ve sepete eklenir, urun sepetten cikarilir","",""
